Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
Newton KN,1600,1600,1600,0,0
Niles North ChSh,1600,1600,1600,0,0
Niles North CR,1600,1600,1600,0,0
Niles North CS,1600,1600,1600,0,0
Niles North GH,1600,1600,1600,0,0
Niles North GW,1600,1600,1600,0,0
Niles North HD,1600,1600,1600,0,0
Niles North HM,1600,1600,1600,0,0
Niles North KB,1600,1600,1600,0,0
Niles North KM,1600,1600,1600,0,0
Niles North McKa,1600,1600,1600,0,0
Niles North MK,1600,1600,1600,0,0
Niles North SP,1600,1600,1600,0,0
Niles North WC,1600,1600,1600,0,0
Niles West KS,1600,1600,1600,0,0
Niles West RK,1600,1600,1600,0,0
Niles West SS,1600,1600,1600,0,0
Niles West SV,1600,1600,1600,0,0
Niles West VK,1600,1600,1600,0,0
North Lake Early BC,1600,1600,1600,0,0
Northside  AD,1600,1600,1600,0,0
Northside  AV,1600,1600,1600,0,0
Northside  CX,1600,1600,1600,0,0
Northside  DT,1600,1600,1600,0,0
Northside  GL,1600,1600,1600,0,0
Northside  GT,1600,1600,1600,0,0
Northside  KP,1600,1600,1600,0,0
Northside  OS,1600,1600,1600,0,0
Northside  PP,1600,1600,1600,0,0
Northside  WP,1600,1600,1600,0,0
Northstar Academy HS - Newark AA,1600,1600,1600,0,0
Northstar Academy HS - Newark AM,1600,1600,1600,0,0
Northstar Academy HS - Newark KS,1600,1600,1600,0,0
Northstar Academy HS - Newark MA,1600,1600,1600,0,0
Northstar Academy HS - Newark YQ,1600,1600,1600,0,0
Northview CT,1600,1600,1600,0,0
Northview LT,1600,1600,1600,0,0
Northview NL,1600,1600,1600,0,0
Northview TN,1600,1600,1600,0,0
Northwood AG,1600,1600,1600,0,0
Northwood CB,1600,1600,1600,0,0
Northwood GC,1600,1600,1600,0,0
Northwood SA,1600,1600,1600,0,0
Northwood SS,1600,1600,1600,0,0
Northwood SY,1600,1600,1600,0,0
Northwood ZG,1600,1600,1600,0,0
Northwood ZY,1600,1600,1600,0,0
Notre Dame AM,1600,1600,1600,0,0
Notre Dame AV,1600,1600,1600,0,0
